"","GNIS","Name","CTU_Type","County","FIPS_Code","Sym_Class","Population","Notes","geometry"
"262",2394755,"Felton","City","Clay County","2702720834","Small City",150,NA,c(233849.0781, 5219866.5)
"263",2394758,"Fergus Falls","City","Otter Tail County","2711120906","County Seat",13266,NA,c(264306.3322, 5129585.5552)
"264",2394761,"Fertile","City","Polk County","2711920978","Small City",931,NA,c(253153.1875, 5269958)
"265",2394764,"Fifty Lakes","City","Crow Wing County","2703521032","Small City",318,NA,c(416517.625, 5176759.5)
"266",2394766,"Finlayson","City","Pine County","2711521122","Small City",261,NA,c(506493.75, 5116458.5)
"267",2394767,"Fisher","City","Polk County","2711921158","Small City",464,NA,c(215381.8594, 5301101.5)
"268",2394770,"Flensburg","City","Morrison County","2709721266","Small City",193,NA,c(381067.8438, 5090224)
"269",2394772,"Floodwood","City","Saint Louis County","2713721338","Small City",472,NA,c(506132.7188, 5197296)
"270",2394775,"Florence","City","Lyon County","2708321410","Small City",14,NA,c(256308.7813, 4902750.5)
"271",2394779,"Foley","City","Benton County","2700921536","County Seat",2636,NA,c(429155.9063, 5057199)
"272",2394784,"Forada","City","Douglas County","2704121608","Small City",211,NA,c(316945.125, 5073660)
"273",2394789,"Forest Lake","City","Washington County","2716321770","Small City",19170,NA,c(501176.4688, 5013932.5)
"274",2394790,"Foreston","City","Mille Lacs County","2709521824","Small City",643,NA,c(444738.9063, 5064788)
"275",2394797,"Fort Ripley","City","Crow Wing County","2703521932","Small City",103,NA,c(395008, 5113402.5)
"276",2394799,"Fosston","City","Polk County","2711921986","Small City",1624,NA,c(293112.25, 5272887.5)
"277",2394801,"Fountain","City","Fillmore County","2704522094","Small City",421,NA,c(569563.5, 4843358.5)
"278",2394803,"Foxhome","City","Wilkin County","2716722202","Small City",127,NA,c(245009.7969, 5130174.5)
"279",2394809,"Franklin","City","Renville County","2712922364","Small City",636,NA,c(350593.875, 4932275.5)
"280",2394813,"Frazee","City","Becker County","2700522472","Small City",1320,NA,c(293653.5, 5178487)
"281",2394819,"Freeborn","City","Freeborn County","2704722526","Small City",333,NA,c(454580.7279, 4846044.3213)
"282",2394822,"Freeport","City","Stearns County","2714522652","Small City",607,NA,c(368368.9375, 5057969.5)
"283",2394826,"Fridley","City","Anoka County","2700322814","Small City",27592,NA,c(479297.9375, 4992550)
"284",2394830,"Frost","City","Faribault County","2704322940","Small City",227,NA,c(425213.3125, 4826352.5)
"285",2394832,"Fulda","City","Murray County","2710122958","Small City",1296,NA,c(291091.7188, 4860782.5)
"286",2394836,"Funkley","City","Beltrami County","2700722976","Small City",5,NA,c(392801.0313, 5293241.5)
"287",2394854,"Garfield","City","Douglas County","2704123120","Small City",251,NA,c(306860.5938, 5090492)
"288",2394859,"Garrison","City","Crow Wing County","2703523192","Small City",225,NA,c(436329.5, 5127094.5)
"289",2394861,"Garvin","City","Lyon County","2708323228","Small City",120,NA,c(279870.25, 4899383.5)
"290",2394864,"Gary","City","Norman County","2710723246","Small City",266,NA,c(253345.0938, 5251613.5)
"291",2394868,"Gaylord","City","Sibley County","2714323300","County Seat",2080,NA,c(403078.375, 4934027)
"292",2394871,"Gem Lake","City","Ramsey County","2712323318","Small City",465,NA,c(497463.125, 4989338.5)
"293",2394876,"Geneva","City","Freeborn County","2704723354","Small City",411,NA,c(478489.875, 4852285.5)
"294",2394880,"Genola","City","Morrison County","2709723444","Small City",73,NA,c(413515.375, 5090240)
"295",2394883,"Georgetown","City","Clay County","2702723498","Small City",113,NA,c(212013.2344, 5221041.5)
"296",2394887,"Ghent","City","Lyon County","2708323660","Small City",344,NA,c(270233.9375, 4932894)
"297",2394888,"Gibbon","City","Sibley County","2714323678","Small City",825,NA,c(378747.7188, 4932306.5)
"298",2394893,"Gilbert","City","Saint Louis County","2713723714","Small City",1809,NA,c(540322.25, 5259634)
"299",2394899,"Gilman","City","Benton County","2700923804","Small City",183,NA,c(426175.7188, 5065074)
"300",2394912,"Glencoe","City","McLeod County","2708523948","County Seat",5557,NA,c(408889.1563, 4957953.5)
"301",2394914,"Glenville","City","Freeborn County","2704724056","Small City",586,NA,c(477301.0625, 4824431.5)
"302",2394915,"Glenwood","City","Pope County","2712124074","County Seat",2536,NA,c(313819.125, 5057969.5)
"303",2394918,"Glyndon","City","Clay County","2702724182","Small City",1446,NA,c(227313.1094, 5197524)
"304",2394924,"Golden Valley","City","Hennepin County","2705324308","Small City",20866,NA,c(472506.7813, 4984089.5)
"305",2394926,"Gonvick","City","Clearwater County","2702924344","Small City",220,NA,c(311573.4688, 5290184.5)
"306",2394927,"Good Thunder","City","Blue Earth County","2701324506","Small City",518,NA,c(414576.2813, 4872949)
"307",2394929,"Goodhue","City","Goodhue County","2704924398","Small City",1253,NA,c(529973, 4916432.5)
"308",2394930,"Goodridge","City","Pennington County","2711324470","Small City",129,NA,c(291038.75, 5336048)
"309",2394931,"Goodview","City","Winona County","2716924524","Small City",4052,NA,c(604472.75, 4879641.5)
"310",2394940,"Graceville","City","Big Stone County","2701124758","Small City",607,NA,c(232031.0156, 5051919.5)
"311",2394947,"Granada","City","Martin County","2709124884","Small City",299,NA,c(391414.0313, 4838942.5)
"312",2394950,"Grand Marais","City","Cook County","2703124992","County Seat",1039,NA,c(699808.8125, 5292018.5)
"313",2394951,"Grand Meadow","City","Mower County","2709925010","Small City",1170,NA,c(534488.4375, 4839290)
"314",2394953,"Grand Rapids","City","Itasca County","2706125118","County Seat",10996,NA,c(459885.1875, 5231662.5)
"315",2394962,"Granite Falls","City","Yellow Medicine County","2717325280","County Seat",2471,NA,c(298730.5625, 4964996)
"316",2394963,"Grant","City","Washington County","2716325334","Small City",4126,NA,c(507060.9063, 4992334.5)
"317",2394967,"Grasston","City","Kanabec County","2706525424","Small City",223,NA,c(488428.5313, 5071250.5)
"318",2394976,"Green Isle","City","Sibley County","2714325658","Small City",555,NA,c(420107.25, 4947805.5)
"319",2394979,"Greenbush","City","Roseau County","2713525604","Small City",819,NA,c(265928.7813, 5399054)
"320",2394988,"Greenfield","City","Hennepin County","2705325622","Small City",2863,NA,c(445627.9688, 4994661.5)
"321",2394998,"Greenwald","City","Stearns County","2714525874","Small City",242,NA,c(354968.25, 5051474)
"322",2394245,"Greenwood","City","Hennepin County","2705325918","Small City",790,NA,c(456346, 4973657)
"323",2394249,"Grey Eagle","City","Todd County","2715326000","Small City",349,NA,c(364348.5625, 5076118)
"324",664359,"Grove City","City","Meeker County","2709326126","Small City",624,NA,c(367719.0625, 5001053.5)
"325",2394258,"Grygla","City","Marshall County","2708926216","Small City",187,NA,c(305850.2813, 5353050)
"326",2394260,"Gully","City","Polk County","2711926270","Small City",101,NA,c(303470.7589, 5293889.9211)
"327",2394264,"Hackensack","City","Cass County","2702126378","Small City",360,NA,c(384271.6563, 5198599.5)
"328",2394266,"Hadley","City","Murray County","2710126450","Small City",43,NA,c(271215.1875, 4875955.5)
"329",2394269,"Hallock","City","Kittson County","2706926576","County Seat",1026,NA,c(210100.4688, 5409896)
"330",2394271,"Halma","City","Kittson County","2706926612","Small City",50,NA,c(234927.25, 5396040.5)
"331",2394272,"Halstad","City","Norman County","2710726630","Small City",611,NA,c(210881.7188, 5251354.5)
"332",2394273,"Ham Lake","City","Anoka County","2700326738","Small City",15714,NA,c(480404.125, 5010784.5)
"333",2394274,"Hamburg","City","Carver County","2701926666","Small City",471,NA,c(423437.625, 4953782)
"334",2394281,"Hammond","City","Wabasha County","2715726828","Small City",80,NA,c(550014.7018, 4896718.6185)
"335",2394282,"Hampton","City","Dakota County","2703726864","Small City",742,NA,c(499846.0625, 4939659)
"336",2394283,"Hancock","City","Stevens County","2714926936","Small City",835,NA,c(281575.215, 5042038.9708)
"337",2394285,"Hanley Falls","City","Yellow Medicine County","2717326972","Small City",398,NA,c(292270.1875, 4952166.5)
"338",2394288,"Hanover","City","Wright County","2717126990","Small City",3006,NA,c(447642.8438, 5000477)
"339",2394291,"Hanska","City","Brown County","2701527008","Small City",378,NA,c(380528.1875, 4889495)
"340",2394295,"Harding","City","Morrison County","2709727098","Small City",152,NA,c(419595.9063, 5107474.5)
"341",2394297,"Hardwick","City","Rock County","2713327116","Small City",184,NA,c(242536.1875, 4851858.5)
"342",2394299,"Harmony","City","Fillmore County","2704527188","Small City",1013,NA,c(579963.0625, 4822956.5)
"343",2394302,"Harris","City","Chisago County","2702527278","Small City",997,NA,c(501993.875, 5048094.5)
"344",2394311,"Hartland","City","Freeborn County","2704727404","Small City",343,NA,c(460853.3438, 4850207)
"345",2394320,"Hastings","City","Dakota County","2703727530","County Seat",22423,NA,c(511699.2188, 4954449)
"346",2394322,"Hatfield","City","Pipestone County","2711727566","Small City",39,NA,c(243655.9219, 4872116)
"347",2394332,"Hawley","City","Clay County","2702727746","Small City",1905,NA,c(247318.6094, 5197262)
"348",2394334,"Hayfield","City","Dodge County","2703927872","Small City",1336,NA,c(512249, 4859729)
"349",2394338,"Hayward","City","Freeborn County","2704727944","Small City",269,NA,c(480331.9375, 4833091.5)
"350",2394339,"Hazel Run","City","Yellow Medicine County","2717328016","Small City",24,NA,c(285116.5313, 4958980)
"351",2394344,"Hector","City","Renville County","2712928124","Small City",1042,NA,c(364208.5938, 4955931.5)
"352",2394346,"Heidelberg","City","Le Sueur County","2707928214","Small City",130,NA,c(450218.3125, 4926643.5)
"353",2394347,"Henderson","City","Sibley County","2714328394","Small City",842,NA,c(427890.6875, 4930956.5)
"354",2394350,"Hendricks","City","Lincoln County","2708128430","Small City",667,NA,c(227839.0625, 4933915)
"355",2394351,"Hendrum","City","Norman County","2710728484","Small City",352,NA,c(211707.4531, 5241598.5)
"356",2394352,"Henning","City","Otter Tail County","2711128520","Small City",857,NA,c(311780.6563, 5132693.5)
"357",2394354,"Henriette","City","Pine County","2711528574","Small City",68,NA,c(490902.4375, 5079796)
"358",2394359,"Herman","City","Grant County","2705128646","Small City",371,NA,c(255791.1563, 5077588)
"359",2394361,"Hermantown","City","Saint Louis County","2713728682","Small City",9627,NA,c(558135.125, 5183992)
"360",2394364,"Heron Lake","City","Jackson County","2706328700","Small City",610,NA,c(313354.5938, 4851720.5)
"361",2394367,"Hewitt","City","Todd County","2715328754","Small City",248,NA,c(339397.7188, 5132336)
"362",2394369,"Hibbing","City","Saint Louis County","2713728790","Small City",16284,NA,c(504713.5938, 5252643)
"363",664474,"Hill City","City","Aitkin County","2700129096","Small City",554,NA,c(454506, 5204596.5)
"364",2394382,"Hillman","City","Morrison County","2709729150","Small City",26,NA,c(430811, 5094899)
"365",2394383,"Hills","City","Rock County","2713329204","Small City",741,NA,c(228615.6406, 4824938.5)
"366",2394389,"Hilltop","City","Anoka County","2700329258","Small City",847,NA,c(480533.375, 4988904.5)
"367",2394390,"Hinckley","City","Pine County","2711529294","Small City",1688,NA,c(504322.1563, 5095314.5)
"368",2394392,"Hitterdal","City","Clay County","2702729402","Small City",184,NA,c(252184.8868, 5207852.6549)
"369",2394394,"Hoffman","City","Grant County","2705129474","Small City",710,NA,c(283173.6875, 5078887.5)
"370",2394395,"Hokah","City","Houston County","2705529510","Small City",551,NA,c(633112, 4846483.5)
"371",2394399,"Holdingford","City","Stearns County","2714529582","Small City",593,NA,c(385646.4688, 5065223)
"372",2394400,"Holland","City","Pipestone County","2711729618","Small City",183,NA,c(244768.0313, 4886998.5)
"373",2394402,"Hollandale","City","Freeborn County","2704729636","Small City",297,NA,c(483587.7813, 4845329.5)
"374",2394405,"Holloway","City","Swift County","2715129672","Small City",95,NA,c(271816.4375, 5014682)
"375",2394407,"Holt","City","Marshall County","2708929870","Small City",111,NA,c(263235.2813, 5353675.5)
"376",2394417,"Hopkins","City","Hennepin County","2705330140","Small City",17992,NA,c(467971.7047, 4974802.545)
"377",2394425,"Houston","City","Houston County","2705530230","Small City",1074,NA,c(615238.6875, 4846583)
"378",2394430,"Howard Lake","City","Wright County","2717130284","Small City",2115,NA,c(415516, 4990268)
"379",2394434,"Hoyt Lakes","City","Saint Louis County","2713730302","Small City",2002,NA,c(564870.8125, 5263281)
"380",2394440,"Hugo","City","Washington County","2716330392","Small City",14053,NA,c(500545.4688, 5000724.5)
"381",2394444,"Humboldt","City","Kittson County","2706930446","Small City",18,NA,c(200185.4063, 5426765)
"382",2394460,"Hutchinson","City","McLeod County","2708530644","Small City",13941,NA,c(391856.6563, 4971396.5)
"383",2394464,"Ihlen","City","Pipestone County","2711730806","Small City",44,NA,c(229632.1406, 4867080.5)
"384",2395420,"Independence","City","Hennepin County","2705330842","Small City",3671,NA,c(444284.75, 4986002)
"385",2395428,"International Falls","City","Koochiching County","2707131040","County Seat",6270,NA,c(469711.6563, 5383196)
"386",2395429,"Inver Grove Heights","City","Dakota County","2703731076","Small City",34417,NA,c(496641.5, 4966073)
"387",2395431,"Iona","City","Murray County","2710131094","Small City",128,NA,c(276484.3438, 4866262)
"388",2395435,"Iron Junction","City","Saint Louis County","2713731238","Small City",104,NA,c(529920.5625, 5251792)
"389",2395439,"Ironton","City","Crow Wing County","2703531274","Small City",799,NA,c(424963.8125, 5147567.5)
"390",2395443,"Isanti","City","Isanti County","2705931328","Small City",5415,NA,c(480660.2813, 5037446.5)
"391",2395444,"Isle","City","Mille Lacs County","2709531472","Small City",762,NA,c(463654.1875, 5109494.5)
"392",2395446,"Ivanhoe","City","Lincoln County","2708131526","County Seat",535,NA,c(241711.0781, 4928465)
"393",2395448,"Jackson","City","Jackson County","2706331562","County Seat",3268,NA,c(339574.0938, 4831681.5)
"394",2395455,"Janesville","City","Waseca County","2716131706","Small City",2667,NA,c(443365.0938, 4885012.5)
"395",2395459,"Jasper","City","Pipestone County","2711731760","Small City",598,NA,c(226849.7969, 4860828)
"396",2395461,"Jeffers","City","Cottonwood County","2703331796","Small City",419,NA,c(324161.0509, 4880417.859)
"397",2395464,"Jenkins","City","Crow Wing County","2703531832","Small City",448,NA,c(397881.0313, 5166703.5)
"398",2395472,"Johnson","City","Big Stone County","2701132012","Small City",3,NA,c(242906.7344, 5051864.5)
"399",2395483,"Jordan","City","Scott County","2713932174","Small City",5900,NA,c(450323.5, 4946143.5)
"400",2395488,"Kandiyohi","City","Kandiyohi County","2706732372","Small City",581,NA,c(348171.5625, 4999452)
"401",2395493,"Karlstad","City","Kittson County","2706932444","Small City",783,NA,c(240367.2813, 5386474.5)
"402",2395494,"Kasota","City","Le Sueur County","2707932462","Small City",820,NA,c(423035.3438, 4904813.5)
"403",2395495,"Kasson","City","Dodge County","2703932498","Small City",6049,NA,c(519988.5625, 4875235)
"404",2395498,"Keewatin","City","Itasca County","2706132570","Small City",1080,NA,c(494550.5, 5249587.5)
"405",2395502,"Kelliher","City","Beltrami County","2700732606","Small City",303,NA,c(391860.6875, 5310832)
"406",2395503,"Kellogg","City","Wabasha County","2715732642","Small City",385,NA,c(580111.625, 4906641)
"407",2395506,"Kennedy","City","Kittson County","2706932732","Small City",241,NA,c(212098.9375, 5395029.5)
"408",2395507,"Kenneth","City","Rock County","2713332750","Small City",69,NA,c(252634.5994, 4849173.9987)
"409",2395510,"Kensington","City","Douglas County","2704132768","Small City",298,NA,c(290424.625, 5072923.5)
"410",2395513,"Kent","City","Wilkin County","2716732786","Small City",69,NA,c(216966.0469, 5149134)
"411",2395515,"Kenyon","City","Goodhue County","2704932840","Small City",1724,NA,c(501174.75, 4902108.5)
"412",2395519,"Kerkhoven","City","Swift County","2715132876","Small City",793,NA,c(317741.875, 5007016.5)
"413",2395520,"Kerrick","City","Pine County","2711532912","Small City",52,NA,c(531894.5625, 5131785)
"414",2395522,"Kettle River","City","Carlton County","2701732966","Small City",156,NA,c(509379.5938, 5148685)
"415",2395527,"Kiester","City","Faribault County","2704333056","Small City",449,NA,c(442478.1875, 4820629)
"416",2395528,"Kilkenny","City","Le Sueur County","2707933110","Small City",327,NA,c(454231.6875, 4906835)
"417",2395529,"Kimball","City","Stearns County","2714533164","Small City",884,NA,c(398098.6875, 5018488)
"418",2395534,"Kinbrae","City","Nobles County","2710533236","Small City",2,NA,c(300026.7813, 4855534.5)
"419",2395538,"Kingston","City","Meeker County","2709333344","Small City",157,NA,c(396865.9688, 5005667)
"420",2395543,"Kinney","City","Saint Louis County","2713733416","Small City",160,NA,c(520286.9688, 5262339.5)
"421",2395562,"La Crescent","City","Houston County","2705533866","Small City",4815,NA,c(636377.0625, 4854174)
"422",2395572,"La Prairie","City","Itasca County","2706135648","Small City",791,NA,c(462990.5313, 5230654)
"423",2395574,"La Salle","City","Watonwan County","2716535702","Small City",48,NA,c(374320.7813, 4880937)
"424",2395584,"Lafayette","City","Nicollet County","2710333920","Small City",479,NA,c(388999.375, 4922432)
"425",2395586,"Lake Benton","City","Lincoln County","2708134100","Small City",685,NA,c(237604.7344, 4906131)
"426",2395587,"Lake Bronson","City","Kittson County","2706934136","Small City",228,NA,c(230723.9375, 5404533.5)
"427",664666,"Lake City","City","Wabasha County","2715734172","Small City",5111,NA,c(558348.5, 4922054.5)
"428",2395588,"Lake Crystal","City","Blue Earth County","2701334190","Small City",2545,NA,c(402472.625, 4884349)
"429",2395589,"Lake Elmo","City","Washington County","2716334244","Small City",8199,NA,c(509523.9375, 4982494.5)
"430",2395591,"Lake Henry","City","Stearns County","2714534478","Small City",78,NA,c(359578.0625, 5035684)
"431",2395593,"Lake Lillian","City","Kandiyohi County","2706734676","Small City",271,NA,c(351703.9688, 4978405)
"432",2395597,"Lake Park","City","Becker County","2700534784","Small City",725,NA,c(264273.1875, 5197188)
"433",2395599,"Lake Saint Croix Beach","City","Washington County","2716334865","Small City",1135,NA,c(518415.2813, 4974182)
"434",2395601,"Lake Shore","City","Cass County","2702134928","Small City",1025,NA,c(395596, 5148897.5)
"435",2395606,"Lake Wilson","City","Murray County","2710135198","Small City",253,NA,c(263268.875, 4875741.5)
"436",2395608,"Lakefield","City","Jackson County","2706334316","Small City",1527,NA,c(324968.5313, 4838345.5)
"437",2395609,"Lakeland","City","Washington County","2716334622","Small City",1741,NA,c(518491.4688, 4978132.5)
"438",2395610,"Lakeland Shores","City","Washington County","2716334658","Small City",304,NA,c(518625.875, 4977207.5)
"439",2395614,"Lakeville","City","Dakota County","2703735180","Small City",58592,NA,c(480771.1875, 4944068.5)
"440",2395619,"Lamberton","City","Redwood County","2712735288","Small City",844,NA,c(319199.3438, 4900034.5)
"441",2395623,"Lancaster","City","Kittson County","2706935378","Small City",372,NA,c(221013.0469, 5418686.5)
"442",2395626,"Landfall","City","Washington County","2716335414","Small City",752,NA,c(501862.4063, 4977488.5)
"443",2395628,"Lanesboro","City","Fillmore County","2704535450","Small City",755,NA,c(582428.5, 4841375.5)
"444",2395632,"Laporte","City","Hubbard County","2705735612","Small City",178,NA,c(367194.125, 5230425.5)
"445",2395637,"Lastrup","City","Morrison County","2709735720","Small City",151,NA,c(417743.4688, 5098979)
"446",2395642,"Lauderdale","City","Ramsey County","2712335738","Small City",2468,NA,c(483798.3438, 4982816.5)
"447",2395652,"Le Center","City","Le Sueur County","2707936134","County Seat",2370,NA,c(441857.0313, 4915387.5)
"448",2395657,"Le Roy","City","Mower County","2709936620","Small City",819,NA,c(540123.875, 4817540.5)
"449",2395659,"Le Sueur","City","Le Sueur County","2707936746","Small City",4020,NA,c(427211.5, 4923527.5)
"450",2395676,"Lengby","City","Polk County","2711936404","Small City",63,NA,c(301572.6563, 5265856)
"451",2395681,"Leonard","City","Clearwater County","2702936494","Small City",42,NA,c(329390.75, 5280116.5)
"452",2395683,"Leonidas","City","Saint Louis County","2713736530","Small City",39,NA,c(532282.4375, 5256559)
"453",2395687,"Lester Prairie","City","McLeod County","2708536728","Small City",1737,NA,c(417756.9063, 4970579.5)
"454",2395692,"Lewiston","City","Winona County","2716936800","Small City",1562,NA,c(590730.5561, 4870716.2497)
"455",2395694,"Lewisville","City","Watonwan County","2716536818","Small City",222,NA,c(384623.4063, 4864361.5)
"456",2395696,"Lexington","City","Anoka County","2700336836","Small City",1969,NA,c(487180.2813, 4998793.5)
"457",2395708,"Lilydale","City","Dakota County","2703737016","Small City",750,NA,c(490068.2188, 4973639)
"458",2395717,"Lindstrom","City","Chisago County","2702537304","Small City",4417,NA,c(511915.7188, 5026225)
"459",2395725,"Lino Lakes","City","Anoka County","2700337322","Small City",20819,NA,c(493035.6875, 5000759.5)
"460",2395730,"Lismore","City","Nobles County","2710537412","Small City",250,NA,c(262728.4063, 4848081)
"461",2395732,"Litchfield","City","Meeker County","2709337448","County Seat",6691,NA,c(379854.375, 4998218.5)
"462",2395733,"Little Canada","City","Ramsey County","2712337502","Small City",10120,NA,c(493106.9063, 4985947)
"463",2395734,"Little Falls","City","Morrison County","2709737556","County Seat",8721,NA,c(394475.625, 5092326.5)
"464",2395738,"Littlefork","City","Koochiching County","2707137592","Small City",671,NA,c(458878.2813, 5360786)
"465",2395753,"Long Beach","City","Pope County","2712137970","Small City",334,NA,c(311669.4688, 5058527.5)
"466",2395756,"Long Lake","City","Hennepin County","2705338006","Small City",1803,NA,c(454955.2813, 4981628.5)
"467",2395758,"Long Prairie","City","Todd County","2715338060","County Seat",3392,NA,c(355502.125, 5092930)
"468",2395761,"Longville","City","Cass County","2702138114","Small City",92,NA,c(407901.75, 5204363.5)
"469",2395762,"Lonsdale","City","Rice County","2713138150","Small City",3781,NA,c(465937.25, 4925308)
"470",2395764,"Loretto","City","Hennepin County","2705338222","Small City",709,NA,c(450008.3949, 4989228.0267)
"471",2395769,"Louisburg","City","Lac qui Parle County","2707338258","Small City",35,NA,c(250813.8281, 5006295.5)
"472",2395778,"Lowry","City","Pope County","2712138366","Small City",339,NA,c(304026.6473, 5064366.4891)
"473",2395782,"Lucan","City","Redwood County","2712738420","Small City",175,NA,c(308091.4688, 4920206.5)
"474",2395787,"Luverne","City","Rock County","2713338564","County Seat",4665,NA,c(240942.7969, 4838479.5)
"475",2395790,"Lyle","City","Mower County","2709938654","Small City",504,NA,c(504535.7813, 4816929.5)
"476",2395791,"Lynd","City","Lyon County","2708338708","Small City",563,NA,c(269802.5, 4918821.5)
"477",2395796,"Mabel","City","Fillmore County","2704538888","Small City",741,NA,c(599450.4375, 4819360)
"478",2395804,"Madelia","City","Watonwan County","2716539230","Small City",2368,NA,c(386405, 4878496)
"479",2395807,"Madison","City","Lac qui Parle County","2707339266","County Seat",1558,NA,c(248183.4688, 4988999)
"480",2395811,"Madison Lake","City","Blue Earth County","2701339320","Small City",985,NA,c(434860.4375, 4894903)
"481",2395813,"Magnolia","City","Rock County","2713339338","Small City",212,NA,c(251681, 4837083.5)
"482",2395817,"Mahnomen","City","Mahnomen County","2708739392","County Seat",1275,NA,c(275669.9375, 5244474.5)
"483",2395818,"Mahtomedi","City","Washington County","2716339428","Small City",7999,NA,c(503826.5625, 4990696.5)
"484",2395825,"Manchester","City","Freeborn County","2704739716","Small City",39,NA,c(463661.9888, 4841474.8152)
"485",2395829,"Manhattan Beach","City","Crow Wing County","2703539806","Small City",69,NA,c(413317.6875, 5175600)
"486",2395831,"Mankato","City","Blue Earth County","2701339878","Big City",40557,NA,c(420478.2027, 4890898.0033)
"487",2395837,"Mantorville","City","Dodge County","2703939986","County Seat",1153,NA,c(519574.9688, 4879584.5)
"488",2395838,"Maple Grove","City","Hennepin County","2705340166","Small City",65687,NA,c(464140.2188, 4991105)
"489",2395840,"Maple Lake","City","Wright County","2717140220","Small City",2103,NA,c(421368.4375, 5008897)
"490",2395841,"Maple Plain","City","Hennepin County","2705340256","Small City",1851,NA,c(448338.3438, 4983961.5)
"491",2395842,"Mapleton","City","Blue Earth County","2701340310","Small City",1759,NA,c(423275.5625, 4864419)
"492",2395845,"Mapleview","City","Mower County","2709940346","Small City",209,NA,c(501678.7188, 4837319.5)
"493",2395846,"Maplewood","City","Ramsey County","2712340382","Small City",39775,NA,c(497179.7831, 4983917.7014)
"494",2394999,"Marble","City","Itasca County","2706140418","Small City",567,NA,c(477455.3125, 5240831)
"495",2395006,"Marietta","City","Lac qui Parle County","2707340526","Small City",139,NA,c(230709.6875, 4989558.5)
"496",2395007,"Marine on Saint Croix","City","Washington County","2716340562","Small City",722,NA,c(518009.9732, 5005099.9824)
"497",2395022,"Marshall","City","Lyon County","2708340688","County Seat",13608,NA,c(278152.7813, 4925296.5)
"498",2395049,"Mayer","City","Carver County","2701941138","Small City",1754,NA,c(429911.625, 4970558.5)
"499",2395052,"Maynard","City","Chippewa County","2702341210","Small City",347,NA,c(305120.8125, 4975577.5)
"500",2395057,"Mazeppa","City","Wabasha County","2715741282","Small City",835,NA,c(536333.875, 4902302.5)
"501",2395067,"McGrath","City","Aitkin County","2700138996","Small City",82,NA,c(479012.6875, 5120749.5)
"502",2395068,"McGregor","City","Aitkin County","2700139014","Small City",456,NA,c(475983.2188, 5161504)
"503",2395072,"McIntosh","City","Polk County","2711939050","Small City",537,NA,c(283196.4049, 5279984.1749)
"504",2395073,"McKinley","City","Saint Louis County","2713739140","Small City",159,NA,c(544361.5625, 5262318.5)
"505",2395077,"Meadowlands","City","Saint Louis County","2713741372","Small City",84,NA,c(520330.7813, 5213193.5)
"506",2395080,"Medford","City","Steele County","2714741426","Small City",1401,NA,c(480326.1563, 4891247.5)
"507",2395082,"Medicine Lake","City","Hennepin County","2705341462","Small City",345,NA,c(467266.9063, 4982510)
"508",2395084,"Medina","City","Hennepin County","2705341480","Small City",5378,NA,c(454140.3125, 4987034.5)
"509",2395085,"Meire Grove","City","Stearns County","2714541534","Small City",212,NA,c(354325.7813, 5054607)
"510",2395088,"Melrose","City","Stearns County","2714541570","Small City",3604,NA,c(359245.5625, 5059496)
"511",2395093,"Menahga","City","Wadena County","2715941660","Small City",1346,NA,c(339786.3438, 5179952.5)
"512",2395096,"Mendota","City","Dakota County","2703741678","Small City",230,NA,c(487035.5313, 4970435)
"513",2395097,"Mendota Heights","City","Dakota County","2703741696","Small City",11172,NA,c(489096.75, 4970030.5)
"514",2395100,"Mentor","City","Polk County","2711941714","Small City",191,NA,c(264356.5625, 5287551)
"515",2395315,"Middle River","City","Marshall County","2708941912","Small City",289,NA,c(265989.25, 5369394.5)
"516",2395317,"Miesville","City","Dakota County","2703742092","Small City",147,NA,c(514857.9688, 4938596.5)
"517",2395318,"Milaca","City","Mille Lacs County","2709542110","County Seat",2895,NA,c(449123.7813, 5067127)
"518",2395319,"Milan","City","Chippewa County","2702342146","Small City",362,NA,c(270840.7188, 4999144.5)
"519",2395330,"Millerville","City","Douglas County","2704142254","Small City",95,NA,c(301845.1563, 5104739)
"520",2395331,"Millville","City","Wabasha County","2715742290","Small City",131,NA,c(556189.631, 4899233.0069)
"521",2395334,"Milroy","City","Redwood County","2712742362","Small City",231,NA,c(296750.9688, 4921447)
"522",2395336,"Miltona","City","Douglas County","2704142398","Small City",372,NA,c(322736.9375, 5101507)
"523",2395345,"Minneapolis","City","Hennepin County","2705343000","Big City",399950,NA,c(479216.2813, 4980762.5)
"524",2395346,"Minneiska","City","Winona County","2716943036","Small City",98,NA,c(590166.1875, 4894150.5)
"525",2395348,"Minneota","City","Lyon County","2708343126","Small City",1407,NA,c(262914.1875, 4938286)
"526",664992,"Minnesota City","City","Winona County","2716943144","Small City",217,NA,c(600104.5625, 4883061.5)
"527",2395349,"Minnesota Lake","City","Faribault County","2704343198","Small City",620,NA,c(433144.75, 4854654)
"528",2395350,"Minnetonka","City","Hennepin County","2705343252","Small City",51249,NA,c(460291.4375, 4973445.5)
"529",2395351,"Minnetonka Beach","City","Hennepin County","2705343270","Small City",570,NA,c(454524.0313, 4976415.5)
"530",2395352,"Minnetrista","City","Hennepin County","2705343306","Small City",6810,NA,c(443389.375, 4976350)
"531",2395361,"Mizpah","City","Koochiching County","2707143540","Small City",99,NA,c(410085.2813, 5308573)
